,Timewindow,Sentiment,Volume,TweetIds
134,24-September-2022 19:00:00-19:29:59,-0.006833333333333321,6,"1573753806684241920,1573751342828593158,1573750145644101634,1573749797776986112,1573749221269848065,1573749107620986882"
135,24-September-2022 19:30:00-19:59:59,0.08029999999999997,7,"1573763000234049536,1573762822139695104,1573760548960870403,1573759930305241090,1573759156787585024,1573759054211559424,1573758741249343488"
136,24-September-2022 20:00:00-20:29:59,0.08663749999999998,16,"1573771675329519621,1573771216544215040,1573770965200543744,1573769497105895424,1573769142125174787,1573768611159842816,1573767519818567680,1573766121433403392,1573766059521605632,1573765790079549440,1573765520549191681,1573765220811546630,1573764894574653441,1573764653301252098,1573764296974245888,1573764216250667013"
137,24-September-2022 20:30:00-20:59:59,0.13687500000000002,8,"1573776649073704960,1573775927598776321,1573774884102094848,1573773724079243265,1573773528834494464,1573772982585290752,1573772726224900096,1573771804463824897"
138,24-September-2022 21:00:00-21:29:59,0.5166555555555556,9,"1573785265986064391,1573784911881936896,1573783034754637828,1573782636690038784,1573781493364756484,1573779730817552387,1573779729341112322,1573779728237993996,1573779726795251713"
139,24-September-2022 21:30:00-21:59:59,0.19828000000000004,5,"1573794258041163777,1573790679423123459,1573789136053493760,1573789089077362689,1573788366474297344"
140,24-September-2022 22:00:00-22:29:59,-0.10637499999999997,4,"1573800654555926528,1573800612319199232,1573798686957731843,1573795435034165248"
141,24-September-2022 22:30:00-22:59:59,0.73275,2,"1573806248578846720,1573804204170395649"
142,24-September-2022 23:00:00-23:29:59,0.04664,5,"1573815752502681600,1573814413508825088,1573814042338430976,1573813398294364161,1573810831313313792"
143,24-September-2022 23:30:00-23:59:59,-0.128,1,1573817653021577221
144,25-September-2022 0:00:00-0:29:59,0.1115888888888889,9,"1573829325148790785,1573827906584854530,1573827689252884481,1573825557606825988,1573824941149003777,1573824939576229890,1573824937969819648,1573824936510119937,1573824674185682944"
145,25-September-2022 0:30:00-0:59:59,0.4646333333333333,3,"1573839563470118914,1573838898413076480,1573837228920356864"
146,25-September-2022 1:00:00-1:29:59,0.2997666666666666,9,"1573846002645307392,1573845562440441858,1573845028190855169,1573844256695160832,1573844215049715714,1573841571505635330,1573840437659459584,1573840172503941121,1573840081978380289"
